,deu_b,eng_b,fra_b,hun_b,por_b,slv_b,srp_b
deu_b,inf,0.3880546843769267,0.32419006445154547,0.5032778195852942,0.9072429179688022,0.3710194662223085,0.38027250009470115
eng_b,0.3880546843769267,inf,0.2670814751819805,0.41017514082320006,0.61026207276478,0.11579689847253043,0.41204826372884823
fra_b,0.32419006445154547,0.2670814751819805,inf,0.30209911585617494,0.6648689594509886,0.17172026881809513,0.2148817018305048
hun_b,0.5032778195852942,0.41017514082320006,0.30209911585617494,inf,0.8253005233731209,0.3777078561721758,0.17838493114946966
por_b,0.9072429179688022,0.61026207276478,0.6648689594509886,0.8253005233731209,inf,0.5701004438577842,0.8428013216307033
slv_b,0.3710194662223085,0.11579689847253043,0.17172026881809513,0.3777078561721758,0.5701004438577842,inf,0.35396730590086617
srp_b,0.38027250009470115,0.41204826372884823,0.2148817018305048,0.17838493114946966,0.8428013216307033,0.35396730590086617,inf
