,deu,eng,fra,hun,por,slv,srp
deu,inf,0.3711281157582064,0.2865404778307653,0.46710981008192115,0.9224741949139666,0.3679469013299511,0.3489848353371991
eng,0.3711281157582064,inf,0.15609383486432118,0.39236628186691813,0.5757534734448269,0.020417289307919622,0.3065798968181478
fra,0.2865404778307653,0.15609383486432118,inf,0.308554671704002,0.6739509539944994,0.14258541619298365,0.16232726699300026
hun,0.46710981008192115,0.39236628186691813,0.308554671704002,inf,0.8307701293679534,0.3886784370367139,0.23296839494519395
por,0.9224741949139666,0.5757534734448269,0.6739509539944994,0.8307701293679534,inf,0.5726506945691074,0.7526171024925677
slv,0.3679469013299511,0.020417289307919622,0.14258541619298365,0.3886784370367139,0.5726506945691074,inf,0.29250665845025237
srp,0.3489848353371991,0.3065798968181478,0.16232726699300026,0.23296839494519395,0.7526171024925677,0.29250665845025237,inf
