deu	add	32.2775	17.4977	1.3034
eng	add	33.1265	30.1947	1.0165
fra	add	34.5573	27.7621	1.1674
hun	add	32.9667	28.9979	1.2164
por	add	31.4134	34.0517	1.3665
srp	add	27.6147	27.8794	1.0303
slv	add	32.2224	12.9194	1.3897
deu	mult	0.1321	5.0383	1.3932
eng	mult	-0.4049	8.6618	1.4809
fra	mult	0.4542	6.6717	1.3985
hun	mult	1.0296	5.38	1.3852
por	mult	2.1201	4.5017	1.4678
srp	mult	2.4693	2.1785	1.4882
slv	mult	-0.0627	4.8251	1.3559
